Age,Income,Credit_Score,Experience_Years,Employment_Years,Existing_Loans,Loan_Amount,Debt_to_Income_Ratio,Loan_Approved
42,24694,685,13,13,0,2643386,8.92,0
39,85466,664,18,4,0,1959380,1.91,0
50,192943,693,24,19,2,2288819,0.989,1
48,27370,613,25,20,0,2893370,8.809,0
55,79719,615,30,0,4,2720213,2.844,0
63,36212,570,36,12,3,259368,0.597,0
31,49552,703,0,0,1,353991,0.595,1
51,92527,773,22,17,2,2621320,2.361,0
59,69764,698,32,8,4,1442608,1.723,0
56,215760,713,32,7,0,1136319,0.439,1
50,241340,605,25,20,1,377506,0.13,1
43,139761,690,14,3,3,2840060,1.693,1
39,138529,670,19,3,2,2440104,1.468,0
32,72940,723,5,5,1,1836271,2.098,0
35,247893,574,3,2,3,1057161,0.355,0
51,89864,651,25,12,2,1566566,1.453,0
63,32942,692,39,2,4,1852738,4.687,0
57,228957,582,28,8,4,821796,0.299,1
57,133658,740,26,6,0,2891868,1.803,1
35,171668,713,10,10,3,1629583,0.791,1
49,29965,468,17,14,1,2852782,7.934,0
63,60581,588,37,7,2,1052150,1.447,0
46,203906,689,14,8,1,2148648,0.878,1
64,75868,846,32,2,1,677556,0.744,1
22,95565,723,1,1,5,64704,0.056,0
40,71579,450,15,7,0,1221543,1.422,0
35,199864,620,4,4,1,1848673,0.771,1
24,88275,711,4,4,3,2338789,2.208,0
42,207477,574,8,8,0,160081,0.064,0
58,64589,737,38,1,4,1211841,1.564,0
43,40147,686,19,11,2,442374,0.918,1
46,73965,787,26,14,1,1143249,1.288,1
31,172688,609,10,10,1,678101,0.327,0
48,25868,729,26,1,3,2760802,8.894,0
22,174062,727,0,0,0,2464115,1.18,0
28,70208,830,2,2,2,340548,0.404,1
49,119801,759,16,11,1,371326,0.258,1
31,149505,690,0,0,1,1264272,0.705,1
57,176998,568,35,19,1,876409,0.413,1
38,47645,621,15,0,5,370756,0.648,0
34,132914,723,7,4,4,1854272,1.163,0
30,114464,683,8,8,1,2904013,2.114,1
55,232843,763,30,2,1,1890397,0.677,1
29,142319,602,6,1,2,1361137,0.797,0
55,212999,653,26,4,2,1312450,0.513,1
31,132743,787,6,6,1,2202354,1.383,1
64,33459,702,36,7,3,2793671,6.958,0
32,109734,677,8,8,2,2771850,2.105,0
23,149361,531,0,0,1,1411058,0.787,0
59,164926,638,29,0,0,2537646,1.282,1
34,91445,624,0,0,0,1970310,1.796,0
48,31992,797,18,17,4,1318136,3.434,1
31,136054,780,5,0,3,897439,0.55,1
59,235084,672,34,9,3,718077,0.255,1
45,229157,690,23,1,0,979816,0.356,1
41,24953,705,17,17,0,2007429,6.704,1
30,166289,702,0,0,2,1679834,0.842,1
63,145485,692,42,4,2,2101926,1.204,0
35,176355,734,13,6,1,962527,0.455,0
39,141149,675,16,5,1,1167682,0.689,1
42,158453,565,16,1,2,1655093,0.87,0
41,169332,621,10,10,1,2319343,1.141,0
64,175476,690,39,18,4,1966487,0.934,1
52,112579,809,26,1,2,2001476,1.482,1
43,204379,780,21,3,2,813289,0.332,1
33,207403,547,11,11,1,1945363,0.782,0
25,160727,657,0,0,1,1339393,0.694,1
24,58412,615,0,0,3,2284253,3.259,0
48,42468,713,27,0,0,206876,0.406,1
34,123894,692,1,1,1,68156,0.046,1
28,156159,663,4,4,0,282643,0.151,1
29,128225,700,0,0,2,344043,0.224,1
55,206015,703,27,10,2,1148861,0.465,1
57,239758,655,36,15,2,1865136,0.648,1
41,95522,723,14,8,0,2774667,2.421,1
38,139289,783,9,9,0,1680593,1.005,1
53,47576,797,33,17,3,442361,0.775,1
28,200102,642,0,0,1,406101,0.169,0
37,133741,803,5,5,0,534175,0.333,1
63,137125,790,32,14,1,1894416,1.151,1
51,107402,629,18,11,0,1191954,0.925,1
54,102022,763,27,2,5,161658,0.132,1
26,222252,680,0,0,2,2999764,1.125,0
42,75541,803,17,13,2,2705489,2.985,1
34,220033,681,9,7,2,2417455,0.916,1
23,75276,781,0,0,0,1417396,1.569,1
32,110356,716,0,0,1,1065424,0.805,1
56,56189,658,26,15,3,2502338,3.711,0
32,178721,620,2,0,2,2409569,1.124,0
65,212082,617,42,20,0,2711201,1.065,1
22,144941,658,0,0,0,890072,0.512,0
22,42774,658,0,0,2,2108295,4.107,0
35,141749,717,13,13,1,662963,0.39,1
43,157049,674,18,18,2,577279,0.306,1
49,91652,795,27,11,2,2086576,1.897,1
37,138850,705,11,5,0,2287190,1.373,0
52,231164,722,27,18,2,1268074,0.457,1
27,144455,674,3,3,3,1549268,0.894,0
50,180101,802,21,11,0,2427412,1.123,1
48,76047,630,16,5,1,439525,0.482,1
34,83994,505,12,8,2,531770,0.528,0
64,191992,627,38,8,2,1695681,0.736,0
50,125920,679,16,16,0,472188,0.312,1
37,84314,656,15,2,0,291624,0.288,0
52,64718,635,32,18,2,851173,1.096,1
26,197820,628,4,0,1,304835,0.128,0
44,45483,670,17,12,2,325105,0.596,1
26,127449,850,0,0,2,2992184,1.956,1
47,248167,632,15,2,6,1234167,0.414,1
38,124464,726,9,9,0,2194397,1.469,1
44,83530,741,11,11,1,2770452,2.764,0
57,61831,730,34,0,3,1075814,1.45,1
44,39882,715,10,10,2,1011915,2.114,1
58,200553,687,25,1,1,2523678,1.049,1
54,100583,704,34,15,0,1011073,0.838,1
60,33531,633,30,17,1,2623372,6.52,0
35,81129,579,15,4,2,750635,0.771,0
31,135574,701,0,0,1,704429,0.433,0
42,157083,814,11,11,2,608983,0.323,1
44,230664,648,23,12,2,1637314,0.592,1
21,34358,657,0,0,1,1579362,3.831,0
38,159035,838,16,9,4,1896777,0.994,1
64,132979,704,32,4,3,1846623,1.157,1
32,111200,570,10,10,1,913803,0.685,0
63,243999,850,37,19,2,1562703,0.534,1
48,162350,685,25,18,1,2557156,1.313,1
60,126305,654,28,20,3,1472519,0.972,1
27,63663,544,4,4,2,2477381,3.243,0
43,199872,693,14,14,0,2565135,1.069,0
41,211673,728,10,10,0,2602250,1.024,1
54,211007,754,34,0,1,1103666,0.436,1
31,33292,680,1,1,2,2643010,6.616,0
42,147830,716,11,6,2,845316,0.477,1
62,224221,694,29,1,1,2446644,0.909,1
55,220611,679,29,1,5,2600122,0.982,0
49,240382,478,29,17,1,2126811,0.737,0
62,61657,687,28,13,3,708226,0.957,0
48,223622,703,16,16,0,956769,0.357,1
38,67371,618,9,9,3,170938,0.211,0
34,236263,704,3,3,1,814036,0.287,1
38,192717,682,8,8,1,2860041,1.237,0
48,18757,591,16,1,1,2747045,12.205,0
44,191607,663,11,9,3,1225701,0.533,1
28,239374,746,8,8,1,607953,0.212,1
62,130289,632,35,7,3,1456658,0.932,1
65,215950,578,37,12,1,918162,0.354,1
28,186808,613,0,0,0,1141961,0.509,1
24,82264,641,0,0,2,1064404,1.078,0
47,248062,701,23,3,1,861148,0.289,1
56,50940,733,32,8,1,1168405,1.911,0
25,200504,732,1,1,0,376067,0.156,1
53,90611,597,23,18,1,2859706,2.63,0
54,160984,720,34,17,0,2633887,1.363,1
50,82744,641,16,7,4,2527654,2.546,0
28,158014,680,0,0,1,2721575,1.435,0
59,198874,742,38,6,3,2240524,0.939,1
46,67236,592,14,14,0,1834082,2.273,1
57,135708,602,24,3,2,2886611,1.773,0
54,30311,649,31,1,1,2135918,5.872,0
27,213328,700,0,0,0,369890,0.144,1
60,89394,651,35,18,1,1185915,1.106,0
48,97330,620,26,1,1,147467,0.126,1
59,155532,777,30,9,0,853437,0.457,1
59,213412,612,31,7,0,1011819,0.395,1
48,219966,650,28,20,2,1486913,0.563,1
34,107028,676,10,8,3,2146745,1.671,0
58,153956,817,33,8,0,2415676,1.308,1
24,137043,638,0,0,1,962349,0.585,0
62,79152,740,31,2,0,393050,0.414,1
38,145587,659,13,5,0,1757834,1.006,1
64,173193,522,42,10,2,1235273,0.594,0
45,184855,736,14,4,0,2263523,1.02,1
27,219948,712,6,5,1,2789983,1.057,1
58,22340,725,35,14,2,2461739,9.183,0
48,241622,648,15,0,2,733796,0.253,0
25,231376,641,5,5,2,429445,0.155,0
23,198676,735,0,0,4,2787397,1.169,0
64,125596,619,31,16,0,2186639,1.451,1
51,152591,681,29,14,0,1094764,0.598,1
62,178251,653,40,18,1,2846912,1.331,1
40,90921,610,6,6,1,1176579,1.078,1
39,219931,700,10,10,2,2421865,0.918,0
31,172490,731,0,0,3,1817009,0.878,0
60,139479,720,28,3,1,153055,0.091,1
23,31940,689,0,0,5,2479042,6.468,0
43,163467,577,10,3,0,2509528,1.279,0
27,215104,666,0,0,2,692030,0.268,1
43,191566,548,19,17,2,310044,0.135,1
27,173901,548,0,0,2,1223248,0.586,0
54,205297,625,26,20,4,156934,0.064,0
62,111525,745,29,7,3,987343,0.738,1
39,76225,497,14,3,3,1108795,1.212,0
29,178776,737,0,0,2,2325973,1.084,0
38,156824,611,7,2,3,2423221,1.288,0
61,25039,672,39,17,2,967930,3.221,0
65,239612,829,36,2,1,2786490,0.969,1
62,73824,752,30,6,2,169274,0.191,1
45,98390,669,20,11,2,2110104,1.787,0
34,208566,627,5,5,0,1890832,0.755,1
64,132482,745,39,18,1,861843,0.542,1
45,156721,614,14,14,1,535314,0.285,1
39,151007,684,17,3,1,1316682,0.727,1
59,55304,738,37,16,3,1579120,2.379,1
35,92587,742,3,3,2,2383713,2.145,1
36,171880,529,12,12,1,334755,0.162,0
47,187749,705,23,4,4,312228,0.139,1
60,231430,651,37,6,1,695425,0.25,0
30,228721,647,0,0,1,415251,0.151,1
24,66014,683,0,0,6,1847496,2.332,0
39,218463,850,19,2,4,1214331,0.463,1
48,102239,676,16,8,1,2859159,2.33,1
41,167797,654,16,3,0,1474884,0.732,1
34,36773,602,2,2,2,282891,0.641,0
53,181676,672,30,12,1,1595010,0.732,1
30,195578,546,0,0,1,2425189,1.033,0
39,98471,758,6,6,0,829779,0.702,1
50,193976,674,29,18,2,2072260,0.89,0
42,35878,654,8,3,0,1639115,3.807,0
23,189192,723,0,0,1,1462089,0.644,0
57,25205,635,28,8,0,818249,2.705,0
61,20070,710,28,10,0,2606793,10.824,0
38,135336,574,4,4,0,2608046,1.606,0
31,248361,574,10,10,2,1449619,0.486,0
22,199283,474,0,0,2,2519399,1.054,0
32,92161,730,7,6,0,2683213,2.426,1
26,241841,755,0,0,2,2628984,0.906,0
63,33244,700,30,9,0,930350,2.332,1
60,148912,769,35,14,1,1873863,1.049,1
64,240824,734,41,3,1,2037928,0.705,1
49,114249,725,22,5,1,1521563,1.11,1
50,187325,670,30,3,1,1648584,0.733,1
22,27091,765,0,0,1,2516445,7.741,0
29,107716,628,0,0,1,703185,0.544,0
22,193907,721,0,0,1,1402696,0.603,0
49,77838,751,27,13,3,1335921,1.43,0
53,52515,636,21,8,0,2942516,4.669,0
30,66604,712,0,0,3,112976,0.141,0
54,121374,691,30,11,1,1747718,1.2,1
64,63949,607,41,19,3,1155216,1.505,0
28,32645,747,3,3,1,982416,2.508,1
57,210590,650,36,14,0,482089,0.191,1
53,72732,732,31,14,2,2301874,2.637,1
26,185995,595,0,0,2,2187430,0.98,1
64,86237,630,38,0,3,1967841,1.902,0
60,45195,641,28,13,2,1896343,3.497,0
65,99211,634,45,4,1,691878,0.581,1
39,203877,613,18,11,0,1113242,0.455,0
52,45072,601,28,18,1,1875956,3.468,1
47,19600,684,20,14,1,2967223,12.616,0
21,153070,657,0,0,1,2576241,1.403,0
63,72134,698,34,7,3,1120679,1.295,1
53,31280,706,23,18,0,1761275,4.692,0
60,148414,574,34,3,0,810106,0.455,1
52,105744,701,23,5,5,2359433,1.859,1
25,225973,720,0,0,2,816641,0.301,1
37,98102,624,5,1,3,1148630,0.976,0
28,87013,741,5,5,1,1878880,1.799,1
62,166604,643,28,15,0,332328,0.166,1
54,189478,745,32,3,4,2013974,0.886,1
29,21009,434,0,0,3,1285818,5.1,0
43,230478,772,20,10,0,1606989,0.581,1
55,140197,783,21,6,1,2375473,1.412,1
27,90136,676,0,0,2,860476,0.796,0
35,36435,769,4,2,1,467064,1.068,1
40,127937,659,7,5,1,1903075,1.24,0
45,149288,657,17,13,0,1981498,1.106,0
23,97054,794,0,0,2,2944245,2.528,1
44,157735,646,18,5,1,754924,0.399,1
54,66743,773,22,8,1,2249778,2.809,1
42,185367,611,20,17,2,2887988,1.298,1
31,173290,698,9,9,4,201668,0.097,1
28,89386,544,0,0,3,1991457,1.857,0
59,85500,688,32,20,0,2491395,2.428,1
63,205746,791,29,1,1,1354538,0.549,1
55,172300,674,24,18,3,1504701,0.728,0
58,90037,747,32,9,2,2622798,2.428,1
28,80685,632,0,0,1,1726823,1.784,0
57,229622,705,29,10,1,263117,0.095,1
47,184236,701,23,9,1,439461,0.199,1
48,23885,643,28,3,0,718183,2.506,0
60,53076,691,36,6,2,96778,0.152,0
54,22433,745,29,12,1,1958905,7.277,0
52,235550,666,31,6,1,2790360,0.987,1
35,122025,614,2,2,1,194566,0.133,1
64,58758,612,40,6,2,2354536,3.339,0
37,224586,698,3,3,2,2575293,0.956,1
53,117073,683,20,1,1,403914,0.288,0
36,144814,777,10,7,1,899546,0.518,1
49,136680,732,26,12,2,1139775,0.695,1
29,160588,708,8,8,0,1064048,0.552,1
53,219816,590,29,1,2,294494,0.112,0
49,147183,676,28,14,4,1036441,0.587,0
33,26633,589,3,3,0,2293353,7.176,0
41,201573,796,10,10,2,2642552,1.092,1
41,123139,646,11,1,2,1054101,0.713,1
25,49945,631,0,0,1,789389,1.317,0
30,172044,665,4,4,2,570387,0.276,1
26,171059,711,0,0,3,659437,0.321,0
33,32539,503,2,2,2,2854625,7.311,0
21,180324,626,0,0,2,65755,0.03,0
40,138509,817,13,13,1,776989,0.467,1
28,158302,710,0,0,0,889367,0.468,1
30,204890,703,5,5,0,2984832,1.214,1
29,119933,718,1,1,4,843547,0.586,1
61,39574,584,41,2,0,1769112,3.725,0
23,70695,850,0,0,2,1687344,1.989,0
31,231374,739,7,6,1,1463520,0.527,1
32,246765,647,1,1,2,1193302,0.403,0
30,25565,738,5,0,1,1293221,4.215,0
45,165693,760,15,2,2,507846,0.255,1
45,40902,606,12,11,1,2525960,5.146,0
31,149909,850,11,11,0,1600549,0.89,1
56,79361,691,29,10,5,1562772,1.641,1
59,169597,636,27,4,4,2210013,1.086,1
46,18071,776,25,3,2,1350161,6.226,0
34,227699,619,1,1,2,1906050,0.698,0
59,118663,551,30,7,3,1209776,0.85,0
60,128219,579,28,13,3,112333,0.073,0
21,158228,544,1,1,3,1426350,0.751,0
24,75932,632,4,0,1,2948220,3.236,0
50,136034,726,29,9,0,835737,0.512,1
32,236773,702,0,0,1,1267344,0.446,1
55,137071,657,33,12,2,2987265,1.816,1
33,164929,619,12,4,1,2663445,1.346,0
51,129141,665,27,14,1,259267,0.167,1
58,145420,658,24,6,1,1413503,0.81,1
63,91253,681,35,6,3,878792,0.803,1
43,243241,548,10,10,1,1264334,0.433,0
24,143437,836,3,3,3,1501485,0.872,1
36,125343,583,5,5,0,966882,0.643,1
27,83035,604,0,0,0,1870444,1.877,0
42,118708,683,13,13,1,292447,0.205,1
49,98941,777,24,10,1,2896331,2.439,0
31,62879,754,0,0,1,2938945,3.895,0
53,97428,593,21,9,3,516290,0.442,0
49,89623,557,21,17,3,2725599,2.534,0
59,48278,748,36,8,1,2909417,5.022,0
32,89416,634,8,8,1,2211467,2.061,1
27,163626,702,0,0,3,203361,0.104,1
59,213865,697,30,6,0,2810589,1.095,1
62,155292,599,35,6,0,986470,0.529,0
46,228146,675,21,12,2,358117,0.131,1
60,156285,744,36,12,2,2878089,1.535,1
29,203232,689,9,4,1,2258423,0.926,1
61,63437,595,34,18,0,1974209,2.593,0
54,153046,688,33,3,1,1488344,0.81,1
65,148504,729,40,12,2,452547,0.254,1
33,82105,688,4,4,2,1251883,1.271,0
56,24089,688,28,19,5,2317745,8.018,0
45,140943,694,20,18,3,1786306,1.056,0
44,107964,572,20,14,0,2435692,1.88,0
64,214009,629,39,19,0,732923,0.285,1
37,59846,669,3,3,1,118144,0.165,0
22,141641,656,0,0,2,355129,0.209,0
33,232501,648,9,9,3,2805172,1.005,0
51,156292,634,27,13,1,299616,0.16,1
49,227037,706,20,8,1,2509341,0.921,1
48,155740,704,22,17,0,1684513,0.901,1
47,178327,791,23,0,0,1224205,0.572,1
35,230456,670,10,10,3,856479,0.31,1
51,244099,786,24,13,2,2766506,0.944,1
60,101913,484,36,2,2,2783565,2.276,0
35,85232,729,9,7,3,480936,0.47,0
53,51124,590,33,20,2,1183631,1.929,1
40,84451,799,12,12,1,962802,0.95,1
62,209299,531,34,3,0,2863078,1.14,0
32,25552,653,7,1,3,1404320,4.58,0
57,159810,650,32,9,2,1991124,1.038,1
29,32546,551,7,1,2,2809660,7.194,0
43,229415,613,12,10,1,2320330,0.843,0
28,91916,669,0,0,1,847863,0.769,0
52,106245,625,26,3,1,522243,0.41,0
34,99141,645,1,1,3,2702297,2.271,1
47,143806,688,24,18,2,2846435,1.649,1
45,205722,529,14,8,2,1475519,0.598,0
33,209701,772,13,8,3,2583071,1.026,1
41,182343,699,17,4,1,628206,0.287,0
65,77074,574,35,18,1,2724504,2.946,0
51,107168,676,27,3,0,2413710,1.877,1
57,51007,725,24,14,2,2167692,3.541,0
63,108107,676,30,14,2,2831342,2.183,1
25,128078,712,0,0,1,2665836,1.735,0
33,58231,736,10,6,0,1363672,1.952,0
48,186953,563,17,10,1,2012679,0.897,1
63,70115,628,41,9,3,2342585,2.784,0
45,227954,830,20,1,2,140994,0.052,1
55,214843,641,29,10,2,2295653,0.89,1
59,33271,727,35,14,1,2477257,6.205,0
27,148382,776,0,0,1,2978013,1.672,1
58,74010,694,32,15,3,1343682,1.513,1
52,212700,636,26,6,0,1883349,0.738,1
23,110249,729,3,3,1,2158555,1.632,0
65,100070,716,31,20,2,1782214,1.484,1
59,23607,648,28,10,1,872314,3.079,0
57,226140,676,32,15,1,2077147,0.765,1
42,113279,652,17,7,5,2281663,1.678,0
28,98433,600,0,0,1,2512431,2.127,0
37,36895,686,11,11,1,1037047,2.342,1
47,92860,829,23,0,0,1766548,1.585,1
53,89757,747,21,18,4,1803658,1.675,0
37,85559,823,11,11,0,647686,0.631,1
62,196172,723,29,3,0,649032,0.276,1
32,100483,750,4,4,1,1151214,0.955,1
47,223153,665,22,13,1,933434,0.349,0
28,107971,635,2,2,3,2257145,1.742,0
43,203063,635,17,12,1,2369596,0.972,1
62,42412,753,36,14,2,1472342,2.893,1
49,118571,741,29,8,0,1121105,0.788,0
40,207978,700,13,6,2,2012709,0.806,1
36,189685,699,7,4,1,67202,0.03,0
37,98460,778,4,4,2,1443380,1.222,1
36,241042,569,9,0,1,1858691,0.643,0
39,44726,686,13,1,5,2229468,4.154,0
28,28597,804,4,0,0,2202238,6.417,0
58,133396,741,36,2,2,1811913,1.132,0
58,72074,576,36,10,0,1577385,1.824,0
49,96494,723,15,10,0,65710,0.057,1
61,76965,689,38,16,2,1097867,1.189,0
56,100818,764,34,18,4,1576761,1.303,1
46,20884,648,25,6,4,1751148,6.988,0
51,41746,740,30,18,3,1241239,2.478,1
64,234398,581,34,11,1,1968683,0.7,0
32,93489,850,10,10,2,583698,0.52,1
37,144222,820,9,9,3,562442,0.325,0
35,169194,690,12,8,1,1598792,0.787,1
29,178332,601,9,9,2,2882561,1.347,0
59,80461,765,30,19,0,845014,0.875,1
62,39473,755,31,1,1,2216559,4.679,0
32,226017,816,6,6,0,409616,0.151,1
52,175705,661,23,9,1,1104070,0.524,1
45,247023,681,18,12,0,470812,0.159,1
59,215059,659,37,13,4,1641897,0.636,0
38,115919,669,18,6,3,473970,0.341,0
35,168977,581,5,5,0,379217,0.187,1
52,196845,790,21,0,2,699499,0.296,1
26,53251,642,0,0,1,1399522,2.19,0
64,88653,642,43,14,0,1860635,1.749,1
63,219950,532,33,7,2,2731703,1.035,0
55,95112,605,30,10,0,404058,0.354,0
54,153853,719,31,16,3,2869589,1.554,1
58,81490,622,35,3,1,2445765,2.501,0
25,27022,575,0,0,1,1946045,6.001,0
38,72187,720,15,11,0,644218,0.744,1
36,146580,786,11,4,2,2238042,1.272,1
28,238769,677,0,0,1,1003093,0.35,0
45,37917,776,14,11,4,2095241,4.605,1
52,59852,677,26,18,2,659140,0.918,0
46,42886,703,25,16,3,592752,1.152,0
42,126601,684,19,12,1,2494422,1.642,1
51,222861,808,31,8,1,533943,0.2,1
63,207412,699,40,20,0,1927948,0.775,1
30,23126,630,5,0,0,61760,0.223,0
32,124190,629,5,5,2,987263,0.662,0
48,157026,589,23,19,2,2684211,1.425,1
26,213445,634,4,4,0,1057992,0.413,1
40,218978,836,7,7,2,129522,0.049,1
25,30368,672,0,0,3,2961467,8.127,0
43,141311,580,16,16,0,866429,0.511,1
29,242487,698,5,4,1,1644985,0.565,1
49,117788,690,22,15,1,2677768,1.894,0
36,196360,669,9,9,4,51538,0.022,0
42,152548,626,13,0,1,1854613,1.013,0
28,95418,738,0,0,1,2979571,2.602,1
40,89424,833,8,8,0,165026,0.154,1
34,90529,698,5,5,2,1238408,1.14,1
59,116583,648,29,3,2,259009,0.185,0
57,238861,820,32,18,4,2389841,0.834,1
54,165398,507,21,19,0,1831628,0.923,1
31,225770,490,0,0,1,1942400,0.717,0
60,136707,587,37,4,1,2124752,1.295,1
53,105322,850,20,2,0,1169812,0.926,1
51,162194,780,30,20,1,2534335,1.302,1
64,179267,675,36,19,2,1813970,0.843,1
54,20676,666,26,12,0,1654125,6.667,0
27,167199,573,1,1,2,1557264,0.776,0
43,79443,716,22,5,0,2076588,2.178,1
27,54268,821,0,0,1,1421394,2.183,0
45,223496,636,12,12,3,390661,0.146,1
23,223695,658,0,0,1,1447896,0.539,1
58,97232,773,26,8,2,2202442,1.888,1
40,145200,753,11,5,1,2364536,1.357,1
54,198844,690,25,16,2,2119687,0.888,1
64,77225,661,39,15,1,1406978,1.518,1
64,215478,683,31,10,0,1255364,0.485,1
50,221970,697,26,13,1,1030093,0.387,1
37,233043,683,15,4,4,79082,0.028,1
30,22529,706,0,0,0,311996,1.154,1
55,33492,770,24,7,2,265438,0.66,1
40,142796,763,8,8,3,1828393,1.067,1
38,114988,744,10,5,2,2632324,1.908,0
65,169347,737,36,10,1,1530404,0.753,1
64,70354,792,36,0,1,1564662,1.853,0
47,195937,707,13,13,2,880906,0.375,1
56,119661,688,26,7,2,2057176,1.433,1
43,145440,554,10,9,0,1226222,0.703,0
52,105725,659,32,6,1,2685185,2.116,0
30,64813,586,2,2,1,1262516,1.623,0
31,197293,655,9,6,0,2858104,1.207,1
58,210992,674,38,15,4,2959236,1.169,1
26,62176,753,0,0,2,397548,0.533,0
61,100086,601,36,20,1,1995065,1.661,0
54,39583,740,29,20,5,199847,0.421,1
56,173936,673,26,6,0,2217126,1.062,1
57,158142,606,25,12,2,1660000,0.875,1
37,93201,507,7,7,6,488394,0.437,0
60,74897,672,28,4,1,1080511,1.202,0
60,66599,685,38,11,3,2279221,2.852,0
32,126164,679,0,0,2,842362,0.556,1
41,79091,741,18,18,2,668658,0.705,1
60,152402,747,40,5,0,2115952,1.157,1
39,71095,757,14,6,0,403882,0.473,1
23,18159,658,0,0,1,461344,2.117,0
38,224989,634,7,7,3,2176412,0.806,0
39,72649,669,16,6,2,424975,0.487,1
26,31733,696,0,0,0,2696001,7.08,0
36,213204,690,11,11,1,742457,0.29,1
28,165428,661,2,2,2,2300604,1.159,1
38,179453,624,18,14,2,1428975,0.664,0
63,201769,562,31,7,0,1062514,0.439,1
59,212743,824,37,7,0,1427020,0.559,1
32,167456,638,0,0,1,1314715,0.654,1
65,201611,615,45,16,1,349479,0.144,0
30,38050,771,0,0,2,392981,0.861,1
27,134810,671,2,2,1,346939,0.214,1
21,207190,693,0,0,2,1223646,0.492,0
56,178140,740,33,19,2,2225966,1.041,1
41,59586,750,17,10,0,985113,1.378,1
57,236097,716,26,7,3,617060,0.218,1
44,96959,682,21,4,1,282877,0.243,1
45,118491,765,25,16,2,187440,0.132,1
27,245870,672,1,1,2,386105,0.131,1
62,82219,669,40,8,2,1301231,1.319,0
37,117598,632,6,3,0,589323,0.418,0
49,233562,715,27,18,1,775438,0.277,1
50,43190,652,27,20,1,2888779,5.574,0
27,120815,753,4,4,6,2969017,2.048,0
53,170527,488,33,15,1,1484588,0.725,0
27,169304,607,7,7,1,2470874,1.216,1
44,218872,808,19,4,1,1760836,0.67,1
31,206043,575,6,0,0,420344,0.17,0
29,98466,591,0,0,3,1156699,0.979,0
32,122383,769,10,5,1,57297,0.039,1
55,128423,591,22,8,2,2541470,1.649,1
24,66712,585,0,0,2,1958159,2.446,0
56,224804,703,36,17,0,2439459,0.904,1
48,237275,834,17,7,2,2759250,0.969,1
33,174708,723,0,0,2,1589679,0.758,0
43,160468,535,23,14,2,2298762,1.194,1
39,30296,664,13,13,3,963837,2.651,0
62,177928,755,41,0,2,344300,0.161,0
57,189155,633,36,10,1,2202841,0.97,0
59,76437,536,30,12,1,588110,0.641,1
44,85815,644,11,11,3,2517943,2.445,1
36,200129,642,10,5,1,1671178,0.696,0
53,97741,617,28,20,2,330529,0.282,1
32,144348,702,10,4,1,793193,0.458,1
54,231839,550,22,6,1,1344394,0.483,0
27,163875,737,0,0,0,223418,0.114,1
31,244948,587,8,8,0,229791,0.078,1
51,20677,666,30,16,2,750296,3.024,0
49,91386,589,25,17,1,1162111,1.06,0
33,104352,698,0,0,2,653982,0.522,0
51,27909,567,17,7,1,1956508,5.842,0
22,42381,694,0,0,2,2323355,4.568,0
59,82777,615,39,16,2,1268456,1.277,0
35,21229,652,12,12,2,745020,2.925,0
31,181078,807,0,0,0,384480,0.177,1
54,78088,613,22,6,1,2868507,3.061,0
59,214746,649,38,9,2,977604,0.379,0
24,157463,644,3,1,2,2351631,1.245,0
31,143234,654,0,0,3,542642,0.316,0
49,78991,715,16,16,0,521198,0.55,1
22,209204,671,0,0,0,744923,0.297,1
36,196206,640,13,1,0,1418635,0.603,1
59,97471,727,34,19,1,259959,0.222,1
33,128080,529,2,2,1,566441,0.369,0
57,223912,850,37,6,0,2874721,1.07,1
37,99337,683,15,8,1,1329657,1.115,1
41,225707,696,16,16,2,2587907,0.955,1
64,213286,725,30,15,1,1718230,0.671,1
39,74114,693,16,11,2,273149,0.307,0
27,142252,678,0,0,2,1181239,0.692,0
58,63461,587,37,14,2,141257,0.185,1
28,196377,736,6,6,5,330328,0.14,0
33,41085,798,5,5,2,732492,1.486,1
57,103392,684,26,6,2,1328969,1.071,1
22,46940,605,2,2,2,277987,0.494,0
61,34719,716,38,13,0,1233355,2.96,1
31,131530,608,2,2,2,1478993,0.937,0
44,61378,735,11,2,1,2941857,3.994,0
26,18587,621,0,0,1,629747,2.823,0
46,194367,741,14,6,1,1664760,0.714,1
27,90304,548,0,0,4,2599672,2.399,0
59,51574,850,27,17,2,951257,1.537,1
39,229218,752,10,10,0,2985226,1.085,1
26,131876,753,0,0,2,1390334,0.879,0
63,199052,725,35,4,0,531231,0.222,1
49,72367,752,27,3,3,1311555,1.51,1
63,31880,617,41,8,2,1445809,3.779,0
59,96894,696,28,3,1,1250628,1.076,1
22,168350,646,0,0,0,464876,0.23,0
39,234223,576,8,7,3,1097080,0.39,0
24,226384,760,4,3,3,1980247,0.729,1
26,240926,602,0,0,2,307557,0.106,1
57,208498,717,28,1,0,795723,0.318,1
48,84259,734,18,2,1,254357,0.252,1
50,22766,708,29,18,0,1001785,3.667,0
27,111075,694,0,0,1,2503148,1.878,1
29,169342,683,5,5,3,1402944,0.69,0
45,192103,721,25,5,1,1320627,0.573,1
53,131703,692,27,7,2,115749,0.073,0
21,176195,786,0,0,2,452433,0.214,0
26,223129,658,0,0,1,2086104,0.779,0
38,74653,766,6,6,3,1416118,1.581,0
