Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Loan_Amount,Employment_Type,Education,Loan_Approved
28,115910,583,0,1,56.12,784051,Business,Bachelor,1
31,24839,694,6,1,50.25,569876,Business,High School,0
33,118675,701,15,4,50.29,789677,Salaried,Bachelor,1
37,222837,531,16,5,49.34,589276,Salaried,High School,0
28,107867,828,10,4,57.28,799305,Business,Master,1
41,38743,740,23,6,41.13,544229,Business,Bachelor,0
38,162711,698,2,3,28.63,826147,Salaried,Bachelor,1
50,176544,842,6,2,7.7,190827,Self-Employed,Bachelor,1
38,158593,642,5,0,38.83,410480,Business,High School,1
51,132168,701,12,1,56.07,142758,Salaried,Bachelor,0
58,87682,566,26,5,19.4,446051,Business,PhD,0
52,224724,810,3,3,28.58,150729,Salaried,High School,1
31,212670,729,10,3,27.51,420312,Business,Bachelor,1
65,34752,627,15,1,53.63,820987,Salaried,Bachelor,0
45,201244,633,5,3,52.34,341135,Salaried,Bachelor,1
53,107428,752,13,0,20.81,760903,Salaried,High School,1
58,110538,796,30,5,64.99,260695,Self-Employed,Bachelor,1
61,77738,637,13,6,66.02,346882,Salaried,Bachelor,0
28,168511,739,10,2,14.94,664615,Salaried,Bachelor,1
31,236430,611,6,0,66.38,322487,Salaried,Bachelor,1
42,213920,724,14,2,20.73,950606,Salaried,Bachelor,1
44,180810,682,9,2,43.0,770557,Business,Bachelor,1
61,163109,555,11,5,54.42,843599,Salaried,Bachelor,0
37,186491,641,18,4,39.65,749245,Salaried,Bachelor,0
32,99056,742,14,2,45.05,244676,Self-Employed,High School,1
52,29073,715,19,0,29.6,403907,Salaried,Bachelor,0
35,108842,588,17,3,49.41,639456,Self-Employed,Bachelor,0
36,232648,600,8,2,13.21,442487,Salaried,Bachelor,0
42,192314,552,0,5,42.15,119073,Business,High School,0
48,150748,618,12,2,35.1,59391,Salaried,Master,1
40,160363,693,22,6,60.68,750797,Self-Employed,Bachelor,0
53,88620,736,14,2,30.69,891771,Salaried,Bachelor,1
30,159614,550,12,5,29.49,316076,Contract,Master,1
60,200770,690,30,4,14.6,541424,Contract,Master,1
52,124984,596,12,0,5.74,575010,Salaried,Bachelor,0
53,122365,680,27,1,34.72,415666,Self-Employed,High School,1
22,184643,816,4,2,31.3,706008,Salaried,Master,1
53,86196,588,22,2,32.74,797008,Salaried,PhD,1
53,22358,681,4,0,22.67,875381,Contract,High School,0
61,157251,458,1,1,21.78,935799,Salaried,Bachelor,0
33,208315,720,7,4,35.96,68985,Self-Employed,Bachelor,1
50,113338,645,16,1,54.69,396846,Salaried,Master,0
53,29611,768,9,0,36.38,991709,Salaried,Master,0
33,29417,665,15,5,9.92,785515,Business,High School,1
46,211001,719,28,1,24.45,314265,Salaried,Bachelor,1
42,48636,823,0,4,52.77,855435,Business,Bachelor,0
59,78540,726,2,2,27.22,105552,Salaried,Master,1
22,114085,731,4,2,63.06,455977,Salaried,High School,0
58,164344,770,21,0,34.87,914779,Contract,Master,1
59,168999,708,4,5,16.88,697849,Salaried,Bachelor,1
46,43370,623,6,1,8.04,432698,Self-Employed,Master,0
35,124060,489,12,3,51.96,158368,Self-Employed,Bachelor,0
54,124336,633,14,5,44.35,236298,Self-Employed,Bachelor,0
62,50117,728,24,4,27.17,179544,Salaried,Master,1
64,190222,647,18,1,10.54,802197,Salaried,Master,1
60,244460,666,18,0,51.01,834142,Salaried,Master,1
31,193736,663,13,0,20.93,967740,Salaried,Master,1
23,70574,638,5,4,6.38,852844,Salaried,Master,1
26,88178,729,8,1,42.9,352315,Self-Employed,Bachelor,1
29,83996,722,11,2,35.38,827929,Contract,High School,0
26,89705,670,8,5,64.7,874213,Self-Employed,Master,0
29,184635,732,11,5,60.72,139128,Self-Employed,PhD,1
59,102404,683,8,0,54.95,804745,Salaried,Master,0
51,105144,690,16,6,46.17,439683,Salaried,Bachelor,1
52,73922,653,3,1,55.54,284583,Business,Bachelor,1
61,86596,648,2,6,9.97,156681,Salaried,Bachelor,1
32,131258,644,11,1,26.21,179922,Salaried,High School,1
28,80164,669,10,5,26.07,51185,Salaried,Master,1
28,187866,718,10,5,22.86,124288,Self-Employed,Master,1
48,76919,641,17,6,41.32,183369,Self-Employed,Bachelor,1
40,194785,683,19,5,42.85,459585,Salaried,Bachelor,1
27,54663,764,9,6,37.21,119476,Salaried,Bachelor,1
31,106896,761,10,1,68.81,630231,Self-Employed,Bachelor,1
40,68098,603,15,0,36.42,70956,Business,Master,0
36,83476,850,8,4,40.87,599787,Salaried,Master,1
24,207960,727,6,2,57.37,645626,Salaried,High School,0
26,58588,643,8,0,61.03,546277,Salaried,Master,0
42,21662,539,15,0,9.21,942337,Contract,Bachelor,0
46,137755,745,28,0,43.5,709475,Salaried,Bachelor,1
23,220186,711,5,2,30.51,206881,Salaried,Bachelor,1
61,108544,610,29,3,61.39,108197,Salaried,Bachelor,1
62,55701,688,9,1,14.81,244417,Salaried,Bachelor,1
34,60937,575,16,4,21.92,690050,Salaried,Bachelor,0
31,70655,577,1,3,22.49,484320,Business,Master,0
38,37211,657,7,3,69.37,532789,Salaried,High School,0
32,179167,663,3,3,62.99,608010,Salaried,Bachelor,1
43,226367,791,1,1,44.08,560117,Salaried,Master,1
32,145327,680,5,3,11.63,119600,Self-Employed,Master,1
33,195980,645,10,0,47.52,533423,Business,Bachelor,0
45,67468,624,6,1,38.12,857851,Salaried,High School,0
65,132939,700,8,3,23.21,220732,Salaried,Bachelor,1
39,234230,492,14,3,32.41,948212,Salaried,Bachelor,1
56,194201,688,22,1,65.73,924274,Business,Bachelor,0
65,153446,809,29,1,8.33,528345,Salaried,High School,1
28,192705,755,10,2,33.38,578704,Salaried,Bachelor,1
49,161553,837,10,1,68.45,650721,Salaried,Bachelor,1
52,184809,627,3,4,23.65,481202,Contract,PhD,1
64,217239,714,29,0,62.97,789473,Salaried,High School,1
38,46197,667,20,5,13.18,257602,Self-Employed,Master,0
26,229172,771,8,0,7.8,434476,Self-Employed,Bachelor,1
38,116819,672,10,1,17.08,206364,Salaried,High School,1
39,101015,760,3,5,49.37,953699,Self-Employed,Master,1
42,81353,606,5,5,11.42,15209,Salaried,High School,1
57,57926,668,15,0,45.4,263083,Business,High School,1
52,171340,656,11,4,47.98,196842,Self-Employed,Bachelor,1
61,147658,771,5,4,51.4,808874,Salaried,Bachelor,1
23,163186,605,5,5,20.81,7882,Business,Bachelor,1
48,135061,644,30,3,10.4,511647,Business,Bachelor,0
30,101606,665,12,5,29.39,925171,Business,High School,1
55,234494,539,4,5,64.81,88434,Salaried,High School,1
49,234209,657,2,1,11.04,82724,Salaried,Bachelor,1
35,148940,686,17,6,39.19,604079,Salaried,Bachelor,1
53,95395,796,8,3,65.76,720934,Self-Employed,Master,1
27,248736,655,9,0,65.99,335797,Business,Master,0
32,61715,669,14,1,15.1,399891,Salaried,Bachelor,1
50,96910,637,8,3,26.91,420900,Salaried,High School,0
41,128415,643,13,5,21.49,284784,Self-Employed,PhD,1
51,181339,657,8,5,14.92,843748,Business,Master,0
44,37713,672,1,2,22.07,586314,Salaried,Master,1
40,110454,704,1,3,63.87,741555,Salaried,Master,0
57,80718,725,9,5,60.6,686585,Salaried,Bachelor,1
24,77360,650,1,1,14.91,192622,Salaried,High School,1
48,228725,695,12,0,25.09,330842,Salaried,Bachelor,1
64,248002,645,17,6,29.37,187906,Self-Employed,Bachelor,0
40,34855,625,18,2,34.88,941518,Salaried,High School,1
44,63575,770,1,0,35.56,703012,Salaried,Master,1
52,177371,680,16,6,49.71,256133,Self-Employed,Bachelor,1
61,64214,637,17,5,62.64,33309,Business,Bachelor,0
56,24358,699,26,6,42.8,468775,Salaried,Master,1
54,213600,761,21,6,56.77,313458,Salaried,PhD,1
56,89912,637,0,6,30.3,638504,Salaried,Bachelor,1
22,126994,707,3,3,43.67,882322,Contract,Bachelor,1
35,91191,721,9,1,40.45,826419,Self-Employed,Bachelor,1
54,158865,692,21,4,6.45,335853,Self-Employed,Bachelor,0
56,42624,679,7,4,39.0,381160,Salaried,Master,1
26,134122,816,8,2,52.72,252763,Salaried,Bachelor,1
59,164991,654,25,2,11.49,415411,Salaried,Bachelor,1
62,185212,675,7,1,33.38,766479,Salaried,High School,1
32,125024,648,14,6,32.98,624273,Business,Bachelor,1
23,80718,708,5,2,63.44,550438,Self-Employed,Bachelor,1
65,100519,560,23,5,19.99,498873,Business,Master,1
38,40652,761,20,5,40.65,845725,Salaried,Bachelor,1
60,219068,581,11,2,19.37,361615,Business,High School,1
41,239166,712,7,1,61.43,952539,Self-Employed,Bachelor,0
35,66904,636,17,5,57.44,578151,Salaried,Master,0
53,79526,800,30,2,25.06,35600,Contract,High School,1
55,36542,701,23,6,16.96,175910,Salaried,Bachelor,1
46,102540,501,0,4,62.06,956840,Business,Bachelor,0
28,93969,662,10,6,65.76,882086,Business,High School,0
56,105179,712,11,5,15.77,280664,Self-Employed,Bachelor,1
50,56023,657,16,4,34.45,877248,Salaried,High School,0
43,124095,603,3,4,60.95,463913,Self-Employed,Bachelor,0
62,170109,482,10,4,25.4,32019,Self-Employed,Master,1
64,50012,825,3,2,29.77,236581,Salaried,High School,1
34,22236,850,2,2,12.87,682775,Business,Master,1
34,203883,601,16,6,61.46,580344,Self-Employed,Master,0
22,84866,698,0,3,30.57,36148,Salaried,Bachelor,1
57,106463,644,13,1,56.22,88205,Business,High School,1
25,184105,755,7,0,29.19,254391,Self-Employed,High School,1
58,193465,658,13,1,64.31,685254,Salaried,Master,0
65,193124,656,12,0,62.17,69338,Self-Employed,Bachelor,1
61,196726,580,18,2,42.93,444555,Salaried,Master,1
34,170856,623,11,0,53.28,780802,Salaried,Bachelor,1
59,98944,745,29,3,54.01,607221,Self-Employed,Bachelor,1
45,63261,724,16,2,26.59,913224,Business,Master,1
40,227652,670,9,6,14.55,575506,Salaried,Bachelor,1
22,80929,782,4,3,68.54,941006,Salaried,Bachelor,0
59,74569,585,10,2,30.25,105910,Salaried,Bachelor,1
26,22243,594,8,4,10.15,212230,Salaried,Master,1
37,213497,667,19,4,27.38,901582,Business,High School,1
45,87421,754,16,4,67.75,312533,Self-Employed,Master,1
48,237737,802,10,0,66.64,175142,Salaried,Bachelor,1
22,113726,500,4,2,62.56,782023,Salaried,High School,0
55,124916,630,1,4,52.16,841715,Business,Bachelor,1
57,187429,775,0,2,10.54,348801,Self-Employed,Bachelor,0
25,172640,578,7,0,62.73,241545,Salaried,High School,0
21,56553,516,3,4,40.66,874633,Self-Employed,Bachelor,0
60,61857,658,18,5,16.11,389731,Salaried,High School,1
32,89111,767,4,2,29.37,823472,Salaried,Bachelor,0
56,234408,695,9,6,6.36,313657,Business,High School,1
65,188528,773,16,4,17.6,394563,Self-Employed,High School,1
43,79215,805,3,6,21.67,749085,Business,Bachelor,1
51,99297,771,29,3,38.22,864933,Contract,Master,0
31,227183,788,13,6,51.23,278172,Business,Bachelor,1
30,42370,561,12,3,46.02,9620,Self-Employed,Bachelor,1
23,203866,639,5,6,22.05,548441,Self-Employed,Bachelor,1
34,109976,608,16,2,40.0,890968,Business,Master,1
36,155899,651,0,2,38.32,973742,Salaried,Master,0
30,58130,754,12,3,23.55,342522,Salaried,Master,1
49,180396,742,0,5,13.24,225120,Salaried,Master,1
30,200485,662,5,5,59.83,576702,Contract,Bachelor,0
32,140216,773,9,1,35.47,504238,Salaried,High School,1
50,209886,579,15,6,47.18,839489,Salaried,Bachelor,1
61,226010,850,26,3,34.65,422817,Self-Employed,Bachelor,1
21,98566,737,3,0,59.69,229306,Business,Bachelor,1
25,105593,797,7,4,62.02,944576,Business,PhD,1
40,150923,649,8,2,43.95,866658,Salaried,Bachelor,0
28,153365,620,10,1,24.75,488459,Salaried,High School,0
63,93537,789,25,5,12.32,289689,Self-Employed,Bachelor,1
32,156533,691,14,3,44.94,907184,Contract,Master,1
21,28155,639,3,1,10.49,94414,Self-Employed,Master,0
40,204976,687,15,0,58.01,31301,Self-Employed,Master,0
48,65438,656,13,4,48.02,674687,Salaried,Bachelor,1
63,156214,703,19,5,36.33,500676,Contract,High School,0
57,117934,776,24,3,33.75,567328,Salaried,High School,1
57,32197,683,5,5,6.57,634700,Salaried,Master,1
32,232535,522,2,2,12.76,802546,Business,Bachelor,1
57,152829,618,25,4,18.9,147754,Salaried,Master,1
64,112736,657,29,5,50.47,895886,Contract,PhD,0
48,236424,669,4,0,20.49,100406,Salaried,Master,1
35,184687,530,17,0,42.48,412727,Salaried,High School,0
26,244472,645,8,5,27.67,476395,Salaried,Bachelor,1
64,90255,673,14,3,5.57,326206,Self-Employed,Bachelor,1
40,111117,625,17,0,61.89,204615,Self-Employed,Bachelor,0
34,47385,677,10,0,27.71,628271,Self-Employed,High School,0
22,207360,776,4,5,8.15,186828,Self-Employed,Bachelor,1
29,134977,638,2,2,29.77,61076,Contract,Master,1
57,238568,548,9,3,12.17,947977,Salaried,PhD,1
40,168836,840,1,5,10.84,702657,Business,High School,1
46,99793,634,14,0,45.19,148089,Salaried,High School,1
49,210063,660,30,0,17.05,452488,Salaried,Master,1
21,81380,682,3,3,10.15,311285,Contract,Master,1
55,23824,577,22,4,45.93,884097,Business,Master,0
26,114121,698,7,6,33.45,358581,Salaried,Bachelor,0
57,198621,643,2,6,57.62,667714,Business,High School,0
25,21291,697,1,1,10.17,816606,Self-Employed,Bachelor,1
53,242806,721,19,0,40.29,130512,Salaried,High School,1
34,32266,769,16,4,63.9,463581,Salaried,High School,0
32,185602,811,14,3,51.81,226720,Salaried,Master,1
62,195231,664,24,2,30.48,587025,Self-Employed,High School,1
40,145007,637,22,5,25.07,664281,Salaried,High School,1
44,56947,588,26,0,60.62,386825,Self-Employed,High School,0
63,124987,721,0,6,14.06,469309,Self-Employed,Master,1
54,136125,680,8,0,28.71,61171,Salaried,Bachelor,1
45,27626,667,13,4,7.09,742453,Salaried,Bachelor,1
49,204113,587,16,2,41.43,314049,Salaried,Bachelor,1
59,231344,629,5,6,45.94,379641,Salaried,Bachelor,0
51,84137,725,30,3,14.08,135578,Business,Master,1
63,156151,749,10,5,60.13,347075,Salaried,PhD,1
43,47126,698,11,6,68.32,113120,Business,Bachelor,1
64,42878,685,13,4,36.26,899870,Self-Employed,Bachelor,1
58,145450,775,22,0,50.64,358588,Salaried,High School,1
40,44238,744,7,1,10.93,186769,Salaried,Master,1
43,215207,743,15,5,46.78,435517,Business,Bachelor,1
65,94084,621,5,2,69.72,394775,Salaried,Bachelor,1
36,134340,845,18,3,45.71,887546,Business,High School,1
62,175808,796,4,0,6.16,134006,Self-Employed,Bachelor,1
28,51368,711,10,1,12.4,428227,Salaried,Master,1
41,72218,631,23,5,32.18,684952,Salaried,High School,1
21,177570,611,3,4,47.49,827866,Salaried,Bachelor,0
28,62480,712,10,0,38.6,373226,Contract,Bachelor,1
49,182060,700,16,0,30.64,219027,Salaried,Bachelor,1
52,80659,662,5,4,54.06,577988,Salaried,Bachelor,0
58,107451,601,0,0,13.58,188724,Contract,Master,1
25,36947,706,7,4,8.64,373216,Business,Master,1
42,72412,667,19,4,9.9,179766,Salaried,Bachelor,1
54,155063,568,3,6,18.55,965719,Salaried,Bachelor,0
21,233001,680,3,6,16.39,516594,Salaried,Bachelor,1
46,200905,750,14,2,43.38,167751,Salaried,Bachelor,1
63,140996,706,10,6,22.86,363061,Salaried,Bachelor,1
30,94254,655,4,2,19.21,571516,Contract,Bachelor,0
50,116617,808,15,1,38.99,89876,Salaried,Master,1
38,208059,625,20,3,66.3,6377,Self-Employed,Bachelor,0
37,159940,708,3,2,9.45,778692,Salaried,Bachelor,1
46,77536,641,26,5,10.79,142236,Self-Employed,Bachelor,1
28,237914,685,0,4,11.61,426604,Self-Employed,Master,1
60,162391,648,0,2,56.87,25428,Business,High School,1
32,217095,775,11,3,38.9,891095,Contract,Master,1
47,159549,703,10,4,52.03,225042,Salaried,Bachelor,0
28,45843,698,10,0,20.48,479896,Salaried,Bachelor,1
45,109151,651,10,2,66.98,638853,Business,Master,1
24,176482,668,6,6,47.35,69920,Contract,Bachelor,1
53,127795,733,6,3,67.52,327413,Business,Bachelor,1
21,248597,734,3,5,37.46,635479,Self-Employed,Master,1
39,86658,698,16,0,8.77,584277,Salaried,Bachelor,1
51,105501,734,12,5,32.12,104534,Contract,High School,1
36,148282,783,18,4,25.23,180412,Self-Employed,High School,1
34,158095,723,16,2,18.94,754505,Business,Master,1
25,187051,541,7,6,19.07,171751,Salaried,Bachelor,0
61,87692,697,10,4,37.51,526760,Self-Employed,Bachelor,1
46,202514,829,12,6,54.3,176391,Salaried,PhD,1
48,78408,752,23,0,53.25,745925,Salaried,Bachelor,1
22,187631,680,4,0,24.73,959823,Salaried,High School,0
26,63058,735,5,1,56.51,57650,Salaried,Bachelor,1
29,95104,657,11,0,60.6,806311,Self-Employed,Bachelor,0
53,63087,721,4,0,26.53,24362,Business,Master,1
61,132156,735,28,4,69.95,912871,Salaried,PhD,0
45,184186,791,27,6,45.63,182738,Self-Employed,Master,1
33,201982,559,8,6,44.32,155887,Salaried,High School,1
29,181842,593,11,6,56.82,761749,Business,Master,0
33,136026,650,11,5,60.44,62085,Business,Master,1
51,245879,734,6,6,55.41,243868,Self-Employed,Master,1
61,237983,755,28,5,57.83,585193,Salaried,High School,1
31,133822,687,13,2,11.68,941511,Salaried,Bachelor,1
24,137384,535,6,4,44.08,357230,Salaried,Bachelor,0
54,221836,775,15,1,55.83,120128,Salaried,Bachelor,1
58,212483,710,23,2,28.61,115628,Salaried,Bachelor,1
24,102373,713,6,2,45.68,570020,Self-Employed,High School,0
58,193341,504,16,2,20.7,932848,Salaried,High School,1
39,93817,789,9,0,53.35,815429,Business,Bachelor,1
26,242503,666,8,4,64.24,371458,Salaried,Master,0
54,201766,771,30,1,18.27,663887,Self-Employed,Bachelor,1
38,55271,740,8,5,10.95,425766,Business,Master,1
33,186842,632,10,6,48.47,268029,Business,Master,1
61,21162,710,26,0,36.04,629596,Salaried,High School,1
43,189474,762,25,6,18.37,369721,Business,Bachelor,1
39,169379,550,0,4,32.7,634133,Business,Bachelor,0
65,21788,753,29,1,65.53,823866,Salaried,Master,0
31,76339,581,12,5,27.07,362941,Salaried,Master,0
21,156964,614,3,0,62.2,9288,Salaried,Master,0
44,230573,594,25,2,68.91,214095,Salaried,Bachelor,1
27,189356,850,3,5,54.19,612924,Contract,Bachelor,1
45,126940,694,1,0,9.87,330089,Salaried,Bachelor,1
41,79824,533,20,2,16.63,167950,Self-Employed,Bachelor,1
35,204364,626,5,3,18.23,508010,Self-Employed,High School,0
21,154964,627,3,4,52.4,80614,Business,Master,1
32,74551,687,14,2,69.7,20699,Business,High School,1
27,124669,624,1,3,9.59,103516,Salaried,Bachelor,1
35,197342,569,12,3,68.27,408237,Salaried,High School,1
41,52743,784,18,6,65.37,107647,Salaried,Master,1
39,226794,673,9,6,24.21,10164,Salaried,Bachelor,1
49,222248,666,23,3,40.14,322669,Salaried,Master,1
45,47326,802,26,0,7.1,720657,Salaried,High School,1
53,223063,822,7,5,25.95,413660,Business,Master,1
52,155500,674,18,4,66.32,879396,Salaried,Master,1
55,185196,596,19,0,43.42,834880,Salaried,High School,1
64,40447,680,6,0,69.8,602069,Self-Employed,Bachelor,0
58,48031,850,12,1,21.69,183037,Salaried,Master,1
46,68842,614,9,1,7.93,626988,Contract,Bachelor,1
31,176158,604,13,6,63.44,555684,Salaried,Master,0
55,147103,697,21,2,39.83,118458,Business,Master,1
28,133776,673,6,4,16.06,344817,Business,Master,1
34,143945,701,1,5,31.58,790682,Contract,Master,0
30,88096,696,12,1,6.43,358341,Self-Employed,Master,1
22,57951,670,4,5,60.73,965438,Salaried,Bachelor,0
29,43771,641,11,4,66.97,968684,Self-Employed,Bachelor,0
23,104551,651,1,1,54.08,329506,Contract,PhD,1
41,56366,598,23,0,30.43,802456,Salaried,High School,0
46,80228,662,12,6,28.81,187024,Self-Employed,Master,1
28,63413,670,10,4,14.31,830600,Salaried,Bachelor,0
22,56243,655,4,5,59.07,31503,Self-Employed,Bachelor,1
26,82403,713,8,4,9.41,197816,Self-Employed,Bachelor,1
48,143385,663,23,6,16.97,32671,Business,Master,1
49,122188,692,20,6,34.85,203552,Salaried,Bachelor,1
46,227960,678,19,0,43.61,885049,Salaried,High School,1
45,154735,686,26,6,34.83,984053,Salaried,Master,1
32,198343,601,14,6,57.74,490416,Salaried,Master,1
25,179322,607,6,0,23.25,139385,Salaried,High School,1
54,77918,763,25,2,40.14,115174,Salaried,Bachelor,1
57,66940,705,23,6,20.05,466985,Salaried,Master,1
35,171435,602,17,3,17.0,901610,Salaried,High School,1
64,175315,545,25,2,35.86,242404,Salaried,High School,1
56,50470,747,29,3,39.89,999342,Contract,Bachelor,1
35,220919,729,17,6,66.03,549169,Self-Employed,Bachelor,1
63,84822,646,6,5,25.25,392909,Business,Bachelor,1
43,27556,686,24,5,38.11,198002,Self-Employed,Bachelor,1
26,238670,694,8,6,34.33,581589,Self-Employed,Bachelor,1
64,96640,612,28,6,39.53,218107,Self-Employed,Master,1
63,240325,680,28,6,47.19,847735,Salaried,Bachelor,0
65,51591,672,4,0,54.12,504934,Salaried,Bachelor,1
41,152805,608,23,1,53.27,238951,Self-Employed,Master,1
43,59047,695,25,6,6.16,334274,Self-Employed,High School,1
63,249205,702,1,2,18.08,162499,Salaried,Bachelor,1
36,90321,598,18,1,23.26,798173,Contract,Master,0
35,131477,745,17,6,30.63,120382,Self-Employed,Bachelor,1
45,241773,636,22,4,11.44,668852,Self-Employed,High School,1
56,171432,629,24,1,69.44,580411,Salaried,Master,0
31,238252,735,13,3,55.29,917142,Business,Bachelor,0
35,145745,732,11,1,38.12,163012,Business,PhD,0
24,113279,617,6,3,35.13,465925,Business,Master,1
41,199021,712,23,2,52.73,46800,Business,High School,1
33,67266,712,15,5,19.6,66356,Contract,Bachelor,1
42,42552,650,17,2,37.89,417804,Self-Employed,High School,1
39,178140,723,15,3,39.98,120214,Business,Master,1
54,187966,537,7,0,29.54,463421,Salaried,Bachelor,1
34,115990,633,16,2,62.33,394572,Self-Employed,Bachelor,0
24,49232,744,6,0,39.6,338673,Self-Employed,Master,0
47,227148,644,6,1,12.47,33889,Self-Employed,Bachelor,1
49,227059,600,15,5,41.03,525708,Salaried,High School,1
48,214025,479,18,4,18.03,288063,Business,Master,1
55,205700,756,15,1,22.05,498068,Business,Master,0
28,90662,628,10,4,43.06,673341,Salaried,Bachelor,1
36,109588,564,14,0,69.67,668578,Salaried,Bachelor,0
62,86761,707,29,2,17.75,538575,Contract,Bachelor,1
56,217848,799,3,6,34.28,252609,Business,High School,1
50,130385,685,7,4,25.93,902300,Salaried,Bachelor,0
38,45029,531,20,5,6.63,190378,Business,Master,1
22,173900,621,4,1,27.12,530414,Salaried,Bachelor,0
33,133333,754,15,1,48.98,950402,Self-Employed,Bachelor,1
24,30875,696,3,1,6.69,440002,Salaried,Bachelor,1
46,176816,580,28,6,62.65,288702,Contract,Bachelor,0
45,114550,850,25,0,8.4,670407,Business,Master,1
50,168159,637,2,5,17.9,984547,Salaried,High School,0
31,93158,662,13,4,21.89,162877,Salaried,Master,1
27,129154,655,9,5,17.67,875590,Business,Master,1
51,45207,745,15,4,51.46,714937,Salaried,Master,0
64,92550,662,1,6,63.33,709606,Salaried,Bachelor,0
30,149139,539,2,4,61.61,623021,Business,Master,0
59,67897,540,1,4,21.55,661381,Salaried,Master,0
33,247804,635,2,3,28.04,302652,Self-Employed,Master,1
51,110628,695,9,6,68.0,978989,Contract,High School,0
27,124927,641,9,2,54.59,839536,Salaried,High School,1
62,210435,725,30,5,57.42,978236,Self-Employed,Master,0
62,55498,787,9,1,11.16,746704,Self-Employed,Master,1
56,135642,586,19,4,66.55,150434,Salaried,Bachelor,1
40,25920,695,0,2,41.36,79837,Business,High School,1
24,180978,642,6,4,40.98,683229,Contract,Bachelor,1
27,95624,622,9,2,29.1,610435,Salaried,Bachelor,1
21,203484,639,3,0,44.52,213937,Salaried,High School,1
64,119473,732,28,5,21.09,174300,Salaried,Master,1
65,210605,686,27,3,59.84,540119,Contract,Master,0
62,144820,641,6,3,52.38,24743,Salaried,Bachelor,1
33,219590,823,15,5,12.45,212311,Salaried,Bachelor,1
42,196033,653,15,6,51.56,253248,Salaried,High School,0
41,185022,705,23,3,15.32,820717,Salaried,Master,1
42,126576,672,18,4,58.95,815747,Salaried,Master,0
48,135846,564,14,2,55.77,576981,Self-Employed,Master,0
29,90996,657,11,6,36.37,54220,Self-Employed,Bachelor,1
46,70246,636,26,2,35.96,682396,Salaried,Master,0
29,81056,647,11,5,47.73,441219,Business,Bachelor,0
35,38773,830,10,3,12.33,653020,Self-Employed,Bachelor,1
30,91957,633,12,2,36.68,876158,Business,Master,0
44,236150,686,26,3,48.34,772718,Contract,Master,0
62,192123,741,18,5,51.93,18184,Contract,Bachelor,1
28,134878,622,10,0,60.5,700034,Salaried,Master,1
44,199645,604,26,1,62.11,227408,Salaried,Master,0
36,99103,700,11,4,45.67,993786,Salaried,Master,1
46,105549,682,28,6,69.39,225105,Business,Bachelor,0
47,204888,717,4,4,66.23,291800,Business,Bachelor,0
57,59645,556,7,1,64.53,355686,Salaried,Master,0
24,128716,801,6,3,32.82,693978,Salaried,Master,1
44,72937,684,0,3,16.35,736333,Salaried,High School,1
39,101739,756,21,2,12.7,935724,Salaried,Bachelor,1
56,37388,850,24,5,24.17,983009,Salaried,Master,1
59,53231,669,16,6,46.74,352261,Self-Employed,Master,0
30,174068,614,12,2,28.9,385769,Salaried,Bachelor,0
45,29740,651,21,1,10.56,253509,Business,Master,1
38,95246,666,20,6,60.33,482393,Salaried,Bachelor,1
39,197091,692,21,3,16.75,590456,Salaried,Master,1
56,60740,776,8,5,22.04,135630,Business,Bachelor,1
30,152701,680,12,0,16.49,977617,Salaried,Master,1
53,227833,775,11,5,48.92,520176,Salaried,Bachelor,1
25,242349,767,7,4,66.01,922648,Self-Employed,Bachelor,1
55,229188,691,17,4,8.77,593918,Salaried,Bachelor,1
64,206106,563,18,4,5.03,826089,Salaried,High School,0
54,107512,747,29,1,38.91,888616,Salaried,Bachelor,1
53,208006,732,12,0,39.78,281249,Salaried,High School,1
41,192378,663,8,2,27.57,715403,Salaried,PhD,1
37,172845,602,4,5,31.82,513210,Salaried,Bachelor,0
42,249825,675,5,6,30.88,768018,Salaried,Bachelor,1
57,192737,717,5,1,10.96,186898,Salaried,Master,1
35,63905,588,2,3,54.44,90899,Salaried,High School,1
55,203265,590,21,4,9.37,542712,Salaried,High School,1
48,105247,850,29,6,18.81,856352,Business,High School,1
27,115924,594,5,3,15.42,633822,Contract,Bachelor,0
52,109688,626,7,5,24.47,599299,Business,Bachelor,0
31,149078,801,13,2,57.18,903605,Contract,Bachelor,1
30,78874,607,1,3,49.47,751546,Salaried,Bachelor,0
29,112332,602,10,2,31.39,248365,Self-Employed,High School,1
34,107844,750,16,1,58.58,119879,Salaried,Bachelor,1
33,76025,540,15,4,34.87,364931,Salaried,Master,1
45,219859,641,25,5,13.91,914433,Business,Bachelor,1
22,240142,729,4,1,8.47,216078,Salaried,PhD,1
55,39285,793,0,1,28.18,526922,Salaried,PhD,1
27,180382,718,9,1,63.25,256167,Self-Employed,High School,1
41,166803,715,23,2,35.39,625767,Self-Employed,High School,1
38,213533,691,3,6,24.3,504470,Salaried,Bachelor,1
23,138446,777,5,3,32.0,715528,Self-Employed,High School,1
62,174681,777,24,6,20.12,495436,Business,Master,1
59,106662,712,3,5,14.01,582734,Salaried,Master,0
61,176812,693,10,5,36.8,374195,Business,Master,1
31,239183,607,13,2,66.48,600319,Business,Bachelor,0
59,245138,621,9,2,13.95,850236,Self-Employed,Master,1
44,30907,536,4,3,31.27,235835,Self-Employed,Master,0
