age,income,credit_score,loan_amount,experience_years,debt_to_income,employment_type,existing_loans,dependents,savings,property_owned,loan_approved
32,105052,304,660518,8,0.38,Salaried,0,2,674538,No,Yes
37,118808,693,375749,13,0.28,Salaried,3,3,529019,Yes,Yes
34,239281,635,898098,10,0.11,Business,0,3,656766,No,Yes
34,154311,362,550602,13,0.2,Contract,3,4,532452,No,Yes
54,109951,343,158987,32,0.17,Business,5,0,900936,Yes,Yes
40,68886,452,654708,13,0.53,Business,5,2,132842,No,No
31,121424,455,904844,6,0.56,Self-Employed,5,0,987880,Yes,Yes
36,176267,777,831943,8,0.56,Business,3,4,688869,No,Yes
51,122697,574,363322,25,0.68,Salaried,4,1,952090,Yes,Yes
26,243931,657,121092,1,0.62,Contract,5,1,924754,Yes,Yes
39,249572,725,529243,16,0.37,Self-Employed,1,0,593709,Yes,Yes
57,114299,831,88009,31,0.32,Contract,1,3,224491,Yes,Yes
24,183746,782,426354,1,0.65,Self-Employed,0,2,416888,No,Yes
24,167177,513,638264,0,0.45,Business,3,0,948704,No,No
40,178811,378,962634,16,0.24,Business,5,3,139046,Yes,Yes
30,181041,438,294290,9,0.42,Business,3,4,488002,No,No
44,32497,397,737585,18,0.69,Business,2,3,317937,Yes,No
55,150888,497,481653,28,0.6,Self-Employed,1,4,454756,No,Yes
46,136915,455,120935,17,0.23,Self-Employed,3,0,418068,No,Yes
57,110019,349,943669,36,0.67,Salaried,0,1,358977,Yes,No
58,208326,778,719008,33,0.69,Self-Employed,5,2,182287,Yes,Yes
41,127017,527,823056,18,0.2,Self-Employed,4,0,406459,Yes,Yes
60,236767,756,98373,36,0.63,Business,5,1,878215,Yes,Yes
59,87385,821,496030,39,0.62,Salaried,4,4,543006,No,Yes
41,236220,448,246209,16,0.08,Contract,1,2,787111,No,Yes
30,123153,357,530556,3,0.49,Self-Employed,5,3,423365,Yes,Yes
58,51826,461,963112,37,0.25,Contract,1,0,73241,Yes,Yes
24,128034,776,883404,4,0.49,Business,2,3,528355,No,Yes
65,212437,406,209219,37,0.64,Business,1,2,982578,Yes,Yes
40,102242,726,69295,19,0.37,Contract,3,0,514189,Yes,Yes
37,141066,694,843329,10,0.32,Contract,3,0,155448,No,Yes
27,68100,485,782172,3,0.65,Salaried,3,3,890942,No,No
24,239171,745,743613,3,0.68,Self-Employed,3,3,861069,No,Yes
49,143170,747,842270,25,0.09,Self-Employed,2,1,662021,No,Yes
34,153431,386,263765,6,0.65,Self-Employed,1,3,862308,Yes,Yes
23,114205,548,773040,0,0.1,Self-Employed,1,4,859821,Yes,Yes
44,30809,739,129942,22,0.27,Salaried,1,1,691724,Yes,Yes
57,82450,556,550704,30,0.55,Business,2,3,430316,Yes,Yes
36,56428,576,338558,16,0.56,Contract,2,0,116105,Yes,Yes
24,244062,737,897589,0,0.52,Business,3,3,311922,No,Yes
44,90790,815,556212,16,0.08,Salaried,5,2,518914,No,Yes
54,129126,501,79483,31,0.14,Self-Employed,2,1,742069,Yes,Yes
50,108321,479,556399,23,0.66,Business,2,0,707881,Yes,Yes
38,20093,624,979017,16,0.1,Self-Employed,0,3,562467,Yes,No
39,62498,774,760909,14,0.1,Contract,3,2,722995,No,Yes
51,134251,699,488018,22,0.59,Business,3,1,340559,Yes,Yes
39,58985,516,831493,10,0.47,Self-Employed,0,1,911674,Yes,No
39,50009,752,731811,12,0.28,Salaried,1,1,962999,No,Yes
42,231166,703,353053,14,0.16,Contract,5,0,778529,No,Yes
44,146515,539,884523,17,0.62,Self-Employed,0,3,543397,Yes,Yes
65,35718,485,364533,37,0.69,Self-Employed,0,0,165852,No,No
32,34705,347,746323,9,0.08,Salaried,5,4,984926,Yes,No
50,105618,685,269280,21,0.41,Contract,5,3,338207,No,Yes
58,80598,507,549876,38,0.22,Salaried,0,4,819432,No,Yes
51,95878,456,390311,25,0.59,Contract,2,3,685586,No,Yes
56,30239,524,115509,27,0.27,Self-Employed,0,1,660052,Yes,Yes
39,64622,443,543417,16,0.51,Self-Employed,4,0,789162,No,No
65,64665,718,702392,40,0.4,Contract,0,4,369526,No,Yes
56,50274,410,344435,34,0.4,Self-Employed,1,1,999280,Yes,Yes
50,160491,764,202889,24,0.61,Business,1,1,896695,No,Yes
53,126368,431,389112,31,0.36,Self-Employed,5,4,66933,Yes,Yes
38,164075,633,658775,18,0.6,Contract,1,3,738579,Yes,Yes
48,179938,374,311021,22,0.29,Business,0,4,697786,Yes,Yes
31,171060,711,825765,4,0.16,Contract,3,0,76149,No,Yes
65,204966,818,946435,40,0.35,Business,1,2,761601,Yes,Yes
53,126563,335,183631,28,0.37,Business,0,3,643651,Yes,Yes
37,239516,522,851176,15,0.36,Salaried,1,1,124935,Yes,Yes
26,154746,829,474371,2,0.58,Salaried,2,4,806467,No,Yes
24,219610,540,288906,2,0.42,Business,2,2,557444,No,No
40,111103,433,857453,19,0.63,Business,0,4,578641,Yes,Yes
47,84446,690,918964,21,0.38,Business,1,2,410829,No,Yes
35,47072,401,106898,6,0.2,Salaried,1,3,308578,No,Yes
26,51717,797,653011,0,0.13,Salaried,4,4,123726,No,Yes
34,236417,810,756396,7,0.61,Salaried,5,4,595906,Yes,Yes
31,175723,836,365320,11,0.09,Business,5,2,175055,Yes,Yes
59,135202,844,413582,38,0.13,Business,1,0,57825,Yes,Yes
29,193363,642,632687,8,0.09,Contract,3,1,974219,No,Yes
46,140389,305,723366,24,0.33,Self-Employed,2,2,103111,No,Yes
36,127525,493,525127,10,0.4,Self-Employed,1,4,752410,No,Yes
25,212422,436,626722,0,0.06,Salaried,3,2,584626,Yes,Yes
30,231092,772,538910,4,0.39,Salaried,5,2,317082,Yes,Yes
23,22646,515,429442,3,0.31,Self-Employed,0,4,800944,No,No
33,57713,648,163214,12,0.55,Salaried,2,4,595281,Yes,Yes
63,85936,482,376735,36,0.59,Business,0,0,158471,No,Yes
50,193403,467,708429,22,0.5,Self-Employed,5,0,752784,No,No
65,40185,337,56486,36,0.36,Business,5,0,75568,No,No
26,102263,770,246461,0,0.19,Self-Employed,1,4,96092,No,Yes
37,247728,751,78800,17,0.6,Self-Employed,0,3,284074,Yes,Yes
65,70107,789,927586,40,0.27,Salaried,5,0,556240,Yes,Yes
39,215626,441,742580,10,0.28,Business,2,1,354937,Yes,Yes
62,35563,402,698610,35,0.65,Business,0,3,733164,No,No
55,88729,341,761614,31,0.68,Contract,0,0,179132,Yes,No
46,33701,446,324013,26,0.63,Business,0,1,659063,No,No
25,218144,365,971680,0,0.7,Business,3,4,769893,Yes,No
49,197289,492,610742,24,0.61,Salaried,3,1,221539,Yes,Yes
57,193682,597,535232,29,0.51,Contract,1,0,15927,No,No
40,233494,337,437737,17,0.24,Business,0,2,315708,Yes,Yes
41,199203,801,382917,18,0.67,Salaried,3,2,359825,Yes,Yes
30,146331,727,993957,3,0.62,Self-Employed,2,1,596408,Yes,Yes
25,178482,651,368957,2,0.21,Business,2,4,329923,No,Yes
56,117280,625,116326,34,0.37,Salaried,5,3,901920,No,Yes
26,207787,337,621883,0,0.1,Self-Employed,0,2,651073,Yes,Yes
46,56665,396,555706,22,0.67,Business,1,3,643335,Yes,No
24,33957,407,877616,0,0.42,Business,5,4,690815,Yes,No
59,197199,450,495402,35,0.21,Salaried,3,2,286136,Yes,Yes
59,212661,373,916722,31,0.24,Self-Employed,5,4,722580,Yes,Yes
55,64008,356,521819,30,0.69,Self-Employed,3,0,723651,No,No
21,79920,634,308184,0,0.45,Self-Employed,3,3,884927,Yes,No
44,181947,551,721969,19,0.32,Self-Employed,5,0,857705,No,Yes
56,131828,553,170036,30,0.37,Business,1,4,477724,No,Yes
26,141852,684,564370,3,0.11,Self-Employed,4,4,259782,No,Yes
61,150698,755,528315,38,0.1,Salaried,3,1,822193,No,Yes
64,108815,558,124539,36,0.44,Salaried,0,1,604742,No,Yes
51,212894,764,601356,25,0.38,Business,3,2,200813,Yes,Yes
40,220837,333,96996,11,0.28,Salaried,3,0,646843,Yes,Yes
44,221485,794,775119,19,0.42,Contract,4,0,522001,No,Yes
45,182714,625,139440,25,0.1,Business,5,4,676315,Yes,Yes
56,56311,537,217906,30,0.66,Contract,0,1,598983,Yes,Yes
41,50356,840,726106,16,0.24,Self-Employed,0,3,592485,Yes,Yes
50,21809,765,933372,27,0.1,Contract,0,4,166517,Yes,Yes
44,192443,603,333551,17,0.16,Business,3,0,416284,Yes,Yes
64,52875,416,529445,38,0.11,Self-Employed,3,0,856255,No,No
62,27465,506,410694,35,0.17,Salaried,2,4,90243,Yes,No
50,215167,780,399801,22,0.32,Business,4,4,379496,Yes,Yes
42,91844,702,559522,22,0.53,Self-Employed,5,4,489143,Yes,Yes
48,214322,532,76403,26,0.23,Business,0,0,519542,Yes,Yes
27,104889,583,323781,6,0.33,Self-Employed,0,3,736459,Yes,Yes
55,33250,779,713972,33,0.65,Business,2,0,217342,Yes,Yes
48,64023,308,211482,27,0.24,Business,3,4,610596,Yes,Yes
34,119350,678,972664,9,0.57,Business,2,1,981025,No,Yes
30,195696,680,110108,2,0.15,Business,2,3,189700,Yes,Yes
36,34427,659,280747,15,0.17,Contract,3,2,132834,No,Yes
36,182348,475,450944,13,0.35,Self-Employed,1,0,179804,No,Yes
51,89643,784,250846,27,0.2,Self-Employed,5,3,924614,No,Yes
62,228084,704,273372,38,0.64,Business,4,3,166248,No,Yes
45,152511,332,822660,25,0.08,Business,1,4,887775,No,Yes
33,234920,764,900026,8,0.44,Salaried,1,3,764796,No,Yes
26,236403,456,330608,2,0.44,Self-Employed,4,0,750089,Yes,No
64,96672,501,999447,39,0.09,Contract,1,1,919886,Yes,Yes
29,228775,474,867270,6,0.53,Self-Employed,3,3,721388,Yes,Yes
65,35300,543,580207,40,0.35,Self-Employed,1,0,996811,No,No
56,78289,568,844229,28,0.52,Self-Employed,1,4,387517,Yes,No
63,166254,745,232959,40,0.59,Salaried,5,3,916255,No,Yes
40,219579,373,138003,15,0.26,Contract,1,2,28645,Yes,Yes
38,199984,395,401416,18,0.36,Business,3,2,944571,No,Yes
63,175981,472,517773,37,0.22,Contract,2,1,637339,No,Yes
41,37659,705,446274,18,0.18,Business,0,4,954874,No,Yes
24,180475,454,911009,0,0.05,Business,4,0,687183,No,Yes
53,182658,482,677926,27,0.68,Contract,4,3,348393,No,No
47,28360,622,437804,23,0.34,Salaried,3,0,558507,Yes,No
27,39424,588,284316,0,0.06,Salaried,0,2,386758,No,No
26,116035,557,949343,0,0.06,Business,1,4,61995,No,No
35,66791,473,651845,13,0.24,Salaried,5,0,107366,Yes,Yes
38,152137,629,863690,18,0.06,Salaried,4,3,16758,Yes,Yes
52,217867,530,689378,23,0.29,Salaried,1,4,490099,No,Yes
31,30300,460,724719,4,0.09,Salaried,5,3,669365,No,No
40,51370,485,141714,17,0.08,Business,3,3,266950,No,Yes
44,218903,442,587202,18,0.49,Salaried,5,4,940189,Yes,Yes
35,45209,581,712896,12,0.64,Contract,3,4,675337,No,No
27,38927,326,760431,1,0.32,Contract,5,3,704942,Yes,No
41,52579,545,695736,21,0.59,Business,3,2,790350,Yes,No
62,27032,786,83748,40,0.07,Self-Employed,2,3,112475,Yes,Yes
46,111254,501,875880,25,0.56,Salaried,3,4,829054,Yes,Yes
64,96413,320,882564,40,0.09,Contract,1,1,52442,No,No
34,189803,393,126022,5,0.59,Self-Employed,2,0,276627,Yes,Yes
57,131528,307,445600,32,0.62,Contract,1,3,401640,Yes,Yes
41,241274,771,419438,20,0.56,Contract,5,0,886394,Yes,Yes
38,202839,638,126323,18,0.58,Self-Employed,3,3,804968,No,No
25,141916,558,477350,0,0.41,Salaried,2,3,474235,No,No
23,90302,354,675530,0,0.22,Business,5,1,408611,Yes,Yes
43,199026,847,526398,16,0.47,Business,0,4,785623,No,Yes
46,237437,305,958779,21,0.34,Business,3,2,369447,No,Yes
57,103757,676,110120,29,0.05,Salaried,2,4,217697,No,Yes
44,174174,349,110592,17,0.36,Salaried,5,0,705589,Yes,Yes
39,183505,411,779391,16,0.47,Contract,2,0,475224,Yes,Yes
45,33932,445,584173,21,0.06,Business,2,3,265383,No,No
41,43714,529,461916,20,0.45,Business,4,4,49920,No,No
32,75803,796,458234,12,0.47,Contract,2,1,254143,No,Yes
61,188815,605,179006,36,0.15,Contract,0,2,29500,Yes,Yes
53,151624,841,145964,31,0.33,Self-Employed,3,4,156836,Yes,Yes
24,74627,760,762421,1,0.68,Self-Employed,3,3,362072,No,No
62,195059,525,212394,40,0.62,Salaried,3,0,601553,Yes,Yes
27,97810,358,100073,2,0.32,Business,2,4,373956,No,Yes
42,63380,375,384794,15,0.28,Contract,3,0,306815,No,Yes
53,178322,727,861428,24,0.13,Business,0,3,636112,Yes,Yes
37,217416,431,142290,14,0.07,Salaried,4,0,392215,No,Yes
44,82686,797,547049,15,0.24,Business,0,3,36071,Yes,Yes
54,138321,604,512561,27,0.66,Contract,4,2,95025,Yes,Yes
48,63028,366,489520,19,0.67,Contract,3,1,670617,Yes,Yes
63,164367,529,919518,40,0.58,Contract,5,0,223376,No,No
61,131141,632,734609,35,0.28,Salaried,1,4,696242,No,Yes
59,73248,576,302028,37,0.14,Contract,4,2,680056,Yes,Yes
42,229277,443,792309,17,0.44,Self-Employed,0,1,410886,Yes,Yes
37,28523,550,176379,14,0.47,Contract,0,4,146758,Yes,No
54,63530,379,559364,29,0.33,Business,5,4,909609,No,No
26,31769,356,775583,0,0.5,Contract,1,3,712019,Yes,No
26,212114,665,284733,0,0.54,Contract,4,1,128110,Yes,Yes
54,130035,607,464339,29,0.56,Business,4,4,679316,No,No
21,193717,473,345239,0,0.38,Salaried,0,4,758118,No,Yes
30,239815,761,142971,2,0.56,Salaried,4,4,300273,No,Yes
41,211214,792,923590,15,0.07,Salaried,1,2,247646,Yes,Yes
25,249832,673,912253,0,0.49,Salaried,4,1,63698,No,Yes
22,174629,648,551843,0,0.2,Contract,4,3,76322,Yes,Yes
42,97782,366,664751,18,0.23,Contract,1,2,144442,No,Yes
22,96382,629,563036,2,0.11,Self-Employed,3,2,865590,Yes,Yes
30,186157,493,759244,3,0.18,Salaried,4,2,911350,No,Yes
54,199780,454,299668,34,0.69,Business,5,3,506026,No,No
36,200429,459,55291,16,0.32,Business,0,3,751781,Yes,Yes
59,128939,565,484409,33,0.65,Business,2,2,555584,No,Yes
42,162542,467,688132,15,0.16,Business,0,2,965705,No,Yes
32,96712,444,839554,10,0.18,Self-Employed,5,0,529994,Yes,Yes
44,136643,485,579164,23,0.41,Self-Employed,0,3,130014,Yes,Yes
60,125417,722,293082,34,0.28,Self-Employed,3,4,62775,Yes,Yes
58,228154,756,517876,29,0.47,Salaried,3,1,83321,No,Yes
30,155877,644,107147,6,0.32,Contract,0,1,146974,Yes,Yes
55,231396,815,182895,35,0.58,Business,4,1,771119,Yes,Yes
52,146256,403,889084,31,0.33,Business,0,2,74569,No,Yes
27,243956,546,676665,5,0.42,Self-Employed,5,3,750702,Yes,Yes
41,211100,322,962657,16,0.26,Salaried,4,0,892163,Yes,Yes
40,199844,824,763564,20,0.51,Self-Employed,1,0,943943,No,Yes
46,201176,443,493598,19,0.48,Business,1,1,676726,No,Yes
24,222688,492,453603,3,0.31,Business,3,4,753376,No,Yes
42,119422,764,676987,18,0.23,Self-Employed,2,4,992390,No,Yes
35,107300,674,285427,8,0.45,Business,2,4,441155,Yes,Yes
60,24630,565,805140,36,0.66,Contract,5,4,678660,No,No
41,142474,677,593268,14,0.14,Contract,3,0,881372,Yes,Yes
35,116869,849,467440,10,0.57,Self-Employed,1,0,193524,No,Yes
42,33701,373,319265,16,0.4,Contract,3,3,504287,No,No
48,163931,737,254562,21,0.39,Contract,1,0,378923,Yes,Yes
34,170255,525,965378,12,0.68,Self-Employed,4,3,482033,No,No
47,189510,607,302703,23,0.44,Self-Employed,5,3,301935,No,No
61,115285,647,979385,32,0.59,Self-Employed,1,2,884231,No,No
60,135556,775,787813,34,0.38,Contract,1,0,797863,No,Yes
48,246495,614,133176,20,0.21,Business,1,4,329869,No,Yes
46,191316,824,625097,21,0.5,Salaried,2,1,187828,No,Yes
22,223384,724,698320,0,0.65,Business,1,3,872909,Yes,Yes
45,33021,823,389765,25,0.6,Self-Employed,0,1,987924,No,No
23,218935,548,166440,0,0.18,Business,4,4,603579,No,Yes
28,204637,481,335241,3,0.26,Salaried,2,3,720614,No,Yes
64,197115,405,52978,40,0.39,Business,0,3,968769,Yes,Yes
53,222222,490,185404,30,0.42,Self-Employed,2,0,443108,Yes,Yes
62,82361,436,397717,37,0.18,Salaried,2,2,10640,Yes,Yes
55,150317,419,282389,26,0.2,Contract,0,1,70863,Yes,Yes
26,190083,371,304652,6,0.54,Business,3,4,955612,Yes,Yes
59,28355,430,851521,30,0.52,Contract,5,2,992259,Yes,No
43,116841,756,439694,19,0.6,Contract,5,2,441851,Yes,Yes
45,197764,778,368948,23,0.66,Salaried,5,0,132311,No,Yes
63,198076,351,770112,37,0.25,Contract,3,3,330768,Yes,Yes
39,178786,418,990988,12,0.61,Contract,1,4,911262,Yes,Yes
25,35198,563,522760,3,0.48,Business,0,2,243673,No,No
31,84951,538,628306,2,0.67,Salaried,1,2,66320,Yes,Yes
32,150724,650,985652,10,0.23,Self-Employed,5,1,717533,No,Yes
30,192697,554,177198,8,0.23,Self-Employed,3,4,818428,No,Yes
28,235054,608,821170,3,0.51,Salaried,0,4,60995,Yes,Yes
44,36740,794,315974,19,0.65,Contract,0,2,772601,No,No
48,21810,356,957820,26,0.59,Business,0,3,924943,Yes,No
61,141743,702,380638,36,0.52,Contract,1,4,829752,Yes,Yes
56,165641,366,437344,28,0.3,Self-Employed,2,4,687694,No,Yes
57,117855,345,862430,30,0.52,Business,2,1,109245,No,Yes
41,228192,668,903508,15,0.57,Salaried,5,1,206884,Yes,Yes
28,44783,531,211749,2,0.54,Contract,2,1,42704,No,No
29,139701,701,79101,2,0.49,Contract,0,3,655870,Yes,Yes
35,248137,322,550234,9,0.08,Business,3,3,90090,No,Yes
60,96047,566,290575,38,0.48,Contract,1,4,428162,Yes,Yes
38,27471,417,432299,11,0.36,Salaried,1,3,413507,No,No
62,128771,354,581341,35,0.68,Business,3,1,394926,Yes,Yes
40,24163,452,186742,20,0.44,Salaried,2,3,648150,No,No
26,212159,538,945426,0,0.45,Salaried,5,4,489697,Yes,No
32,80071,564,686854,8,0.7,Salaried,4,2,416307,No,No
22,34065,567,687939,0,0.11,Salaried,3,0,665127,Yes,No
27,140323,412,191353,7,0.23,Contract,2,3,580868,Yes,Yes
36,135969,465,264730,11,0.48,Business,0,2,135861,No,Yes
23,101456,307,103341,0,0.25,Contract,3,4,821618,No,Yes
65,197420,516,118069,40,0.27,Self-Employed,2,2,763731,Yes,Yes
23,37154,730,978260,0,0.63,Salaried,1,2,750600,Yes,No
47,123703,591,508291,22,0.43,Salaried,4,2,142865,No,No
63,38229,349,759781,40,0.12,Self-Employed,4,1,979570,No,No
60,70587,406,503324,36,0.25,Self-Employed,4,3,223329,Yes,Yes
58,67713,308,377467,37,0.1,Salaried,2,2,36049,No,Yes
53,176069,755,927042,27,0.41,Contract,2,4,656234,No,Yes
48,39101,622,396482,20,0.16,Contract,0,0,770632,Yes,No
21,58391,608,808740,0,0.61,Salaried,4,0,796238,Yes,No
28,224935,444,798218,0,0.43,Business,1,0,392567,No,No
57,90723,711,820532,31,0.09,Self-Employed,5,1,555606,Yes,Yes
52,244293,413,460264,26,0.25,Contract,4,3,305677,No,Yes
63,208477,698,757966,40,0.45,Business,3,0,790584,Yes,Yes
57,184020,574,846308,32,0.27,Salaried,3,1,238702,Yes,Yes
24,118264,423,501291,0,0.38,Salaried,1,4,793095,Yes,Yes
50,202103,385,152591,23,0.64,Contract,2,4,608632,No,Yes
26,55921,346,293432,0,0.28,Contract,5,1,951281,No,Yes
39,221643,500,65171,16,0.27,Salaried,4,3,938006,Yes,Yes
52,226079,575,354348,32,0.58,Contract,5,4,526664,No,No
29,46460,848,448382,4,0.26,Contract,3,3,336316,No,Yes
32,170143,429,519118,3,0.1,Contract,1,1,290701,Yes,Yes
31,215190,747,922226,11,0.17,Salaried,0,4,53100,No,Yes
36,197354,688,880166,12,0.67,Self-Employed,3,4,349064,No,Yes
21,109725,562,831318,0,0.66,Business,3,2,334832,Yes,No
65,76445,577,927683,40,0.2,Self-Employed,4,4,38162,Yes,No
41,230139,345,439683,17,0.41,Salaried,2,0,651127,No,Yes
50,100208,467,670909,25,0.14,Business,3,2,78255,Yes,Yes
33,203888,744,831357,9,0.49,Salaried,3,1,224738,Yes,Yes
54,124283,345,830680,34,0.17,Self-Employed,4,0,49235,No,Yes
24,103779,839,769801,0,0.08,Salaried,2,0,598169,No,Yes
48,21060,386,619366,26,0.59,Contract,5,3,941601,Yes,No
58,143806,684,864210,32,0.26,Contract,0,2,127074,No,Yes
51,31731,564,782286,27,0.12,Self-Employed,5,3,109508,No,No
47,95830,321,726284,25,0.59,Contract,0,2,551259,Yes,Yes
25,133871,749,95832,0,0.55,Self-Employed,0,2,578991,Yes,Yes
45,38719,531,682828,25,0.49,Salaried,0,0,96533,Yes,No
23,196114,485,811140,0,0.64,Salaried,2,4,159157,No,No
53,67116,625,640531,30,0.37,Self-Employed,0,3,849478,No,Yes
24,44325,482,550144,1,0.13,Business,4,3,724651,Yes,No
45,171669,696,992552,21,0.09,Self-Employed,4,0,846377,Yes,Yes
40,216511,780,295701,12,0.26,Business,4,4,729047,Yes,Yes
54,32551,702,607103,34,0.11,Self-Employed,0,2,971525,Yes,Yes
46,111287,762,871114,24,0.4,Salaried,4,2,809957,No,Yes
25,42278,716,591777,2,0.06,Contract,4,4,625649,Yes,Yes
55,240261,501,430012,34,0.34,Self-Employed,1,2,985980,No,Yes
48,33141,364,834646,20,0.17,Business,0,3,772994,No,No
49,85913,316,950126,23,0.29,Contract,4,3,743439,Yes,Yes
29,51615,482,369845,9,0.49,Business,5,3,871781,No,No
58,140058,690,984455,30,0.28,Business,2,0,546981,Yes,Yes
26,211823,343,288047,1,0.27,Business,4,2,816405,No,Yes
39,130684,781,755378,18,0.69,Business,1,0,671982,No,Yes
64,45452,562,192524,40,0.52,Self-Employed,2,2,844851,No,No
31,171797,473,865067,6,0.38,Contract,2,3,943502,No,Yes
22,68391,740,279355,0,0.43,Contract,5,3,569882,No,Yes
64,138288,519,149332,35,0.45,Contract,5,4,102497,Yes,Yes
64,224132,693,471149,39,0.07,Contract,5,2,32391,No,Yes
29,131535,494,477797,3,0.1,Salaried,3,1,729393,Yes,Yes
41,160770,708,823776,16,0.47,Salaried,1,0,903186,Yes,Yes
44,104711,770,481497,17,0.29,Self-Employed,1,3,752128,No,Yes
54,95850,646,954646,33,0.09,Contract,4,4,460152,Yes,Yes
42,127733,761,726547,14,0.24,Salaried,1,4,243074,No,Yes
23,20365,360,859385,0,0.13,Contract,2,3,462017,No,No
32,246625,465,467918,4,0.65,Self-Employed,2,2,587893,Yes,Yes
48,115662,450,318422,22,0.18,Business,4,4,134151,No,Yes
50,61372,410,225638,22,0.14,Self-Employed,2,2,942643,Yes,Yes
46,62134,787,109722,26,0.46,Salaried,4,4,282080,Yes,Yes
41,55823,848,330180,19,0.39,Salaried,5,0,23917,No,Yes
48,89158,302,163031,27,0.42,Salaried,3,2,200902,No,No
46,114076,782,729943,26,0.33,Self-Employed,1,4,80173,Yes,Yes
53,151021,312,906676,29,0.35,Self-Employed,1,3,172365,No,Yes
41,67396,461,190548,21,0.56,Self-Employed,1,1,692738,No,Yes
55,126336,643,645142,33,0.19,Contract,3,3,857028,Yes,Yes
54,49912,748,144805,29,0.31,Salaried,1,2,564090,Yes,Yes
61,74947,631,481843,36,0.67,Self-Employed,5,3,167233,Yes,Yes
38,246769,563,957735,16,0.17,Self-Employed,3,3,673774,Yes,Yes
31,62387,382,205826,8,0.24,Contract,3,1,847791,Yes,Yes
43,213037,633,548113,17,0.17,Salaried,4,3,998279,Yes,Yes
42,34508,679,856411,17,0.06,Business,5,4,940671,No,Yes
37,63592,518,906878,16,0.23,Business,0,0,410383,No,Yes
25,127249,753,242233,0,0.08,Salaried,0,1,453730,No,Yes
64,19919,388,348166,39,0.15,Contract,4,2,378496,Yes,No
31,60595,632,578741,10,0.29,Salaried,4,4,907295,No,No
50,158689,609,888007,24,0.06,Business,4,2,308405,No,Yes
35,224340,719,631548,6,0.54,Self-Employed,1,1,349805,No,Yes
47,51298,653,792077,18,0.57,Salaried,2,1,461363,Yes,Yes
55,156001,399,269973,32,0.32,Business,4,3,195098,Yes,Yes
53,32456,444,141862,33,0.69,Self-Employed,3,1,669955,No,No
40,127599,309,221777,11,0.49,Salaried,0,2,508254,No,Yes
36,104676,343,628317,8,0.53,Contract,1,1,341735,Yes,Yes
54,101721,685,447393,25,0.17,Business,5,0,564216,Yes,Yes
22,55924,794,905397,0,0.59,Self-Employed,2,3,722894,Yes,Yes
55,42240,792,607240,31,0.66,Self-Employed,0,1,341348,No,No
60,105381,468,568431,38,0.2,Contract,0,0,640395,No,Yes
48,27228,830,282509,25,0.5,Business,0,2,514234,Yes,Yes
59,39686,635,775874,37,0.54,Self-Employed,3,2,46425,Yes,No
26,29920,812,695113,0,0.25,Contract,3,0,747257,Yes,Yes
29,25432,429,260381,2,0.36,Business,3,0,682242,Yes,No
40,212647,838,439149,16,0.11,Contract,2,1,843752,Yes,Yes
21,128507,813,704247,0,0.16,Contract,0,3,330863,No,Yes
28,148509,549,908142,8,0.09,Contract,4,3,644144,Yes,Yes
43,89725,437,71796,15,0.41,Contract,2,4,396096,Yes,Yes
23,242647,574,231420,0,0.46,Business,3,0,718786,No,No
24,182982,763,389557,2,0.65,Contract,3,2,510401,Yes,Yes
45,139764,440,563151,25,0.4,Contract,3,4,652583,No,Yes
58,179298,555,234405,36,0.22,Self-Employed,5,0,930852,Yes,Yes
35,222222,755,329866,14,0.09,Business,1,0,245929,Yes,Yes
41,77099,733,793451,15,0.63,Business,5,4,708960,No,Yes
55,130557,472,162761,26,0.36,Contract,0,3,447394,No,Yes
34,104760,772,653386,11,0.53,Contract,4,0,114130,No,Yes
56,36013,722,298380,30,0.06,Salaried,0,4,853212,No,Yes
32,39446,738,908514,10,0.37,Contract,2,1,158033,Yes,Yes
37,123209,356,599546,12,0.26,Business,1,1,370360,Yes,Yes
59,219447,797,323850,33,0.07,Self-Employed,2,2,714575,No,Yes
29,211581,468,865375,3,0.55,Business,3,3,789743,Yes,Yes
55,120261,727,900756,31,0.38,Self-Employed,3,4,16560,Yes,Yes
33,113739,718,858747,8,0.27,Contract,4,3,390447,No,Yes
35,18557,646,584640,13,0.57,Salaried,0,3,940409,Yes,No
38,179738,816,84497,15,0.34,Self-Employed,2,4,367876,No,Yes
53,186461,754,387289,28,0.05,Business,5,0,58792,Yes,Yes
26,196772,501,750334,4,0.66,Contract,3,1,586955,No,No
47,148878,478,934754,21,0.22,Self-Employed,4,2,214162,No,Yes
43,117143,356,957091,21,0.59,Salaried,4,0,558713,Yes,No
47,42578,800,601516,19,0.58,Salaried,2,3,547394,Yes,Yes
54,92779,411,569896,31,0.16,Salaried,0,3,757526,No,Yes
58,158668,447,951584,37,0.36,Contract,1,4,308608,Yes,Yes
34,75500,677,58882,9,0.08,Self-Employed,4,1,404428,Yes,Yes
56,90534,647,304962,28,0.28,Self-Employed,2,1,711208,Yes,Yes
28,28129,657,197340,0,0.53,Contract,3,2,302694,Yes,Yes
55,212466,355,382990,26,0.2,Self-Employed,1,0,999437,Yes,Yes
39,215118,615,293180,18,0.13,Contract,1,2,71019,No,Yes
50,29596,484,336607,27,0.38,Salaried,0,3,663003,Yes,No
34,83355,353,126789,10,0.4,Self-Employed,2,3,978199,Yes,Yes
40,30974,336,135940,12,0.49,Salaried,0,1,247297,No,No
